Sector,October,November,December,January,February,March,April,May,June,July,August,September,
Big Bend,697,603,477,473,383,357,413,552,378,492,563,614,
Del Rio,"2,106","1,880","1,817","1,243","1,104",746,589,740,761,760,798,932,
El Centro,"2,441","1,850","1,870","1,796","1,196",871,849,"1,134","1,280","1,478","1,880","1,988",
El Paso,"3,973","4,105","3,948","2,779","1,575",978,906,"1,032","1,180","1,395","1,782","1,540",
Laredo,"3,350","3,194","2,460","2,265","1,710","1,256","1,304","1,722","1,839","2,120","2,143","2,097",
Rio Grande Valley,"22,642","24,686","23,418","15,580","7,855","4,147","3,942","4,882","5,817","7,107","8,650","8,836",
San Diego,"2,934","2,947","3,099","2,927","1,808","1,356","1,392","1,724","1,652","1,764","2,241","2,242",
Tucson,"5,924","5,912","4,303","3,357","2,589","2,148","1,487","2,199","2,632","2,177","2,913","3,016",
Yuma,"2,117","2,034","1,859","1,156",534,336,245,534,548,894,"1,318","1,272",
,,,,,,,,,,,,,
